Path,Species_Name,Species_ID,Split
data/wings-2024/Ae_communis/Ae com 53.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 31.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 86.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 151.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 79.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 49.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 117.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 10.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 129.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 46.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 44.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 115.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 54.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 69.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 8.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 163.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 144.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 107.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 140.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 35.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 154.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 27.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 103.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 37.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 164.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 98.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 148.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 82.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 75.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 161.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 26.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 12.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 78.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 109.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 28.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 153.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 134.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 59.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 135.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 39.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 121.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 136.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 95.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 68.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 157.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 70.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 82.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 8.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 85.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 7.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 92.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 71.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 138.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 45.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 90.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 128.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 152.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 15.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 155.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 83.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 139.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 76.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 147.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 32.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 120.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 52.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 132.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 97.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 149.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 64.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 143.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 29.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 127.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 113.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 81.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 24.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 51.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 72.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 84.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 11.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 67.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 89.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 22.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 101.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 16.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 108.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 158.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 145.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 48.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 41.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 102.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 119.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 126.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 47.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 146.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 63.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 112.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 143.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 96.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 106.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 116.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 11.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 137.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 45.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 61.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 72.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 103.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 46.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 66.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 164.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 48.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 159.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 33.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 78.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 28.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 134.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 88.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 119.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 94.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 34.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 53.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 114.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 84.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 91.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 59.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 157.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 149.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 50.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 17.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 22.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 24.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 138.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 36.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 13.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 10.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 42.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 158.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 30.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 102.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 144.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 43.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 142.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 129.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 73.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 62.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 35.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 31.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 131.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 115.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 121.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 141.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 38.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 14.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 69.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 70.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 58.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 109.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 9.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 81.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 147.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 67.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 92.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 152.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 55.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 56.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 68.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 107.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 51.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 89.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 52.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 7.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 126.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 18.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 123.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 76.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 86.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 112.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 47.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 95.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 54.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 63.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 12.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 151.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 145.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 75.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 110.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 65.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 161.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 49.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 44.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 127.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 101.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 60.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 156.tif,Aedes,0,Train
data/wings-2024/Ae_vexans/Ae vex 1.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 118.tif,Aedes,0,Train
data/wings-2024/Ae_sticticus/Ae stic 123.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 72.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 49.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 40.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 165.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 110.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 80.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 13.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 164.tif,Aedes,0,Train
data/wings-2024/Ae_communis/Ae com 86.tif,Aedes,0,Train
